fips,nchs
48165,6
48167,2
48169,6
48171,6
48173,6
48175,6
48177,6
48179,5
48181,4
48183,4
48185,6
48187,2
48189,5
48191,6
48193,6
48195,6
48197,6
48199,3
48201,1
48203,4
48205,6
48207,6
48209,3
48211,6
48213,2
48215,3
48217,6
48219,5
48221,2
48223,5
48225,6
48227,5
48229,6
48231,2
48233,5
48235,6
48237,6
48239,6
48241,6
48243,6
48245,3
48247,6
48249,5
48251,2
48253,5
48255,6
48257,2
48259,6
48261,6
48263,6
48265,5
48267,6
48269,6
48271,6
48273,5
48275,6
48277,5
48279,6
48281,5
48283,6
48285,6
48287,6
48289,6
48291,2
48293,6
48295,6
48297,6
48299,6
48301,6
48303,4
48305,6
48307,6
48309,4
48311,6
48313,6
48315,6
48317,5
48319,6
48321,5
48323,5
48325,6
48327,6
48329,4
48331,6
48333,6
48335,6
48337,6
48339,2
48341,5
48343,6
48345,6
48347,5
48349,5
48351,6
48353,5
48355,3
48357,6
48359,6
48361,3
48363,5
48365,6
48367,2
48369,6
48371,6
48373,6
48375,4
48377,6
48379,6
48381,4
48383,6
48385,6
48387,6
48389,5
48391,6
48393,6
48395,6
48397,2
48399,6
48401,5
48403,6
48405,6
48407,6
48409,3
48411,6
48413,6
48415,5
48417,6
48419,6
48421,6
48423,4
48425,6
48427,6
48429,6
48431,6
48433,6
48435,6
48437,6
48439,1
48441,4
48443,6
48445,6
48447,6
48449,5
48451,4
48453,3
48455,6
48457,6
48459,4
48461,6
48463,5
48465,5
48467,6
48469,4
48471,5
48473,2
48475,6
48477,5
48479,4
48481,5
48483,6
48485,4
48487,5
48489,6
48491,3
48493,2
48495,6
48497,6
48499,6
48501,6
48503,6
48505,6
48507,6
49001,6
49003,5
49005,5
49007,6
49009,6
49011,2
49013,6
49015,6
49017,6
49019,6
49021,5
